Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2013_2014,FU000,Funcionamiento SGR,FU027,Funcionamiento - DNP (Fortalecimiento ST-OCAD PAZ),OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU028,Funcionamiento - Procuraduría General de La Nación (PGN),AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU028,Funcionamiento - Procuraduría General de La Nación (PGN),INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU028,Funcionamiento - Procuraduría General de La Nación (PGN),OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU029,Funcionamiento - Autoridad Nacional de Licencias Ambientales (ANLA),AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU029,Funcionamiento - Autoridad Nacional de Licencias Ambientales (ANLA),INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU029,Funcionamiento - Autoridad Nacional de Licencias Ambientales (ANLA),OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU030,Funcionamiento - Empresa Nacional Promotora del Desarrollo Territorial (ENTerritorio),AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU030,Funcionamiento - Empresa Nacional Promotora del Desarrollo Territorial (ENTerritorio),INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU030,Funcionamiento - Empresa Nacional Promotora del Desarrollo Territorial (ENTerritorio),OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU031,Funcionamiento - Unidad Nacional para la Gestión del Riesgo de Desastres (UNGRD),AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU031,Funcionamiento - Unidad Nacional para la Gestión del Riesgo de Desastres (UNGRD),INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU031,Funcionamiento - Unidad Nacional para la Gestión del Riesgo de Desastres (UNGRD),OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU033,Funcionamiento - Min. Ambiente (Licenciamiento Ambiental),AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU033,Funcionamiento - Min. Ambiente (Licenciamiento Ambiental),INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU033,Funcionamiento - Min. Ambiente (Licenciamiento Ambiental),OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU034,Funcionamiento - Otros por distribuir IP 2019-2020,AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU034,Funcionamiento - Otros por distribuir IP 2019-2020,INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU034,Funcionamiento - Otros por distribuir IP 2019-2020,OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU041,Funcionamiento - Min. Interior,AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU041,Funcionamiento - Min. Interior,INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU041,Funcionamiento - Min. Interior,OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU043,Funcionamiento del SGR,AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU043,Funcionamiento del SGR,INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU043,Funcionamiento del SGR,OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU044,Fiscalización,AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU044,Fiscalización,INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU044,Fiscalización,OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU045,Funcionamiento - Contraloría General de la Republica (CGR),AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU045,Funcionamiento - Contraloría General de la Republica (CGR),INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU045,Funcionamiento - Contraloría General de la Republica (CGR),OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU046,Funcionamiento - DNP Regional (ST OCAD Regional),AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU046,Funcionamiento - DNP Regional (ST OCAD Regional),INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU046,Funcionamiento - DNP Regional (ST OCAD Regional),OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU047,Funcionamiento - DNP (Estructuración de Proyectos),AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU047,Funcionamiento - DNP (Estructuración de Proyectos),INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU047,Funcionamiento - DNP (Estructuración de Proyectos),OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU048,Reintegros (Fortalecimiento ST OCAD Departamentales),AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU048,Reintegros (Fortalecimiento ST OCAD Departamentales),INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU048,Reintegros (Fortalecimiento ST OCAD Departamentales),OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU049,Reintegros (Saldos en cuentas maestras - fortalecimiento),AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU049,Reintegros (Saldos en cuentas maestras - fortalecimiento),INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU049,Reintegros (Saldos en cuentas maestras - fortalecimiento),OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU050,"Reintegros (Fun, operatividad y administración - DNP órgano)",AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU050,"Reintegros (Fun, operatividad y administración - DNP órgano)",INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU050,"Reintegros (Fun, operatividad y administración - DNP órgano)",OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU051,"Reintegros (Fun, operatividad y administración - Ministerio de Hacienda y Crédito Publico)",AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU051,"Reintegros (Fun, operatividad y administración - Ministerio de Hacienda y Crédito Publico)",INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU051,"Reintegros (Fun, operatividad y administración - Ministerio de Hacienda y Crédito Publico)",OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU053,Reintegros (Saldos en cuentas maestras - Sistema de Monitoreo),AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU053,Reintegros (Saldos en cuentas maestras - Sistema de Monitoreo),INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU053,Reintegros (Saldos en cuentas maestras - Sistema de Monitoreo),OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU054,Funcionamiento - Min. Interior - Comunidades ROM,AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU054,Funcionamiento - Min. Interior - Comunidades ROM,INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU054,Funcionamiento - Min. Interior - Comunidades ROM,OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU055,Funcionamiento - Confederación Indígena Tayrona - Comunidades Indígenas,AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU055,Funcionamiento - Confederación Indígena Tayrona - Comunidades Indígenas,INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU055,Funcionamiento - Confederación Indígena Tayrona - Comunidades Indígenas,OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU056,Funcionamiento - Min. Ambiente    (Órgano SGR),AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU056,Funcionamiento - Min. Ambiente    (Órgano SGR),INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU056,Funcionamiento - Min. Ambiente    (Órgano SGR),OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU057,Funcionamiento - Min. Justicia y del Derecho,AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU057,Funcionamiento - Min. Justicia y del Derecho,INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU057,Funcionamiento - Min. Justicia y del Derecho,OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU058,Funcionamiento - Min. Interior,AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU058,Funcionamiento - Min. Interior,INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU058,Funcionamiento - Min. Interior,OTROS,0.0
2013_2014,FU000,Funcionamiento SGR,FU059,Funcionamiento - Min. Tecnologías de la información y las comunicaciones,AHORRO,0.0
2013_2014,FU000,Funcionamiento SGR,FU059,Funcionamiento - Min. Tecnologías de la información y las comunicaciones,INVERSIÓN,0.0
2013_2014,FU000,Funcionamiento SGR,FU059,Funcionamiento - Min. Tecnologías de la información y las comunicaciones,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU000,Funcionamiento SGR,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU000,Funcionamiento SGR,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU000,Funcionamiento SGR,OTROS,395754317584.757
2015_2016,FU000,Funcionamiento SGR,FU001,Funcionamiento SGR   - Por Distribuir,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU001,Funcionamiento SGR   - Por Distribuir,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU001,Funcionamiento SGR   - Por Distribuir,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU002,Funcionamiento - DNP (Sistemas de Información y Estrategias de capacitación),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU002,Funcionamiento - DNP (Sistemas de Información y Estrategias de capacitación),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU002,Funcionamiento - DNP (Sistemas de Información y Estrategias de capacitación),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU003,Funcionamiento - DNP (Órgano SGR),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU003,Funcionamiento - DNP (Órgano SGR),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU003,Funcionamiento - DNP (Órgano SGR),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU004,Funcionamiento - DNP (Programa de Estructuradores),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU004,Funcionamiento - DNP (Programa de Estructuradores),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU004,Funcionamiento - DNP (Programa de Estructuradores),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU005,Funcionamiento - DNP (Comisión Rectora),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU005,Funcionamiento - DNP (Comisión Rectora),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU005,Funcionamiento - DNP (Comisión Rectora),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU006,Funcionamiento - DNP (Fortalecimiento ST de planeación Municipales),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU006,Funcionamiento - DNP (Fortalecimiento ST de planeación Municipales),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU006,Funcionamiento - DNP (Fortalecimiento ST de planeación Municipales),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU007,Funcionamiento - DNP (Fortalecimiento ST OCAD FC&T)   - Colciencias,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU007,Funcionamiento - DNP (Fortalecimiento ST OCAD FC&T)   - Colciencias,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU007,Funcionamiento - DNP (Fortalecimiento ST OCAD FC&T)   - Colciencias,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU008,Funcionamiento - DNP (Fortalecimiento ST OCAD Regional),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU008,Funcionamiento - DNP (Fortalecimiento ST OCAD Regional),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU008,Funcionamiento - DNP (Fortalecimiento ST OCAD Regional),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU009,Funcionamiento - DNP (Fortalecimiento ST OCAD Departamentales),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU009,Funcionamiento - DNP (Fortalecimiento ST OCAD Departamentales),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU009,Funcionamiento - DNP (Fortalecimiento ST OCAD Departamentales),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU010,Funcionamiento - DNP (Fortalecimiento ST OCAD  CAR),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU010,Funcionamiento - DNP (Fortalecimiento ST OCAD  CAR),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU010,Funcionamiento - DNP (Fortalecimiento ST OCAD  CAR),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU011,Funcionamiento - MHCP (Órgano SGR),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU011,Funcionamiento - MHCP (Órgano SGR),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU011,Funcionamiento - MHCP (Órgano SGR),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU012,Funcionamiento - MinMinas (Órgano SGR),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU012,Funcionamiento - MinMinas (Órgano SGR),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU012,Funcionamiento - MinMinas (Órgano SGR),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU013,Funcionamiento - Min. Agricultura,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU013,Funcionamiento - Min. Agricultura,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU013,Funcionamiento - Min. Agricultura,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU014,Funcionamiento - Min. Salud,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU014,Funcionamiento - Min. Salud,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU014,Funcionamiento - Min. Salud,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU015,Funcionamiento - Min. Educación,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU015,Funcionamiento - Min. Educación,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU015,Funcionamiento - Min. Educación,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU016,Funcionamiento - Min. Transporte,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU016,Funcionamiento - Min. Transporte,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU016,Funcionamiento - Min. Transporte,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU017,Funcionamiento - Min. Vivienda,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU017,Funcionamiento - Min. Vivienda,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU017,Funcionamiento - Min. Vivienda,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU018,Funcionamiento - Min. Cultura,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU018,Funcionamiento - Min. Cultura,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU018,Funcionamiento - Min. Cultura,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU019,Funcionamiento - Ministerio del Deporte,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU019,Funcionamiento - Ministerio del Deporte,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU019,Funcionamiento - Ministerio del Deporte,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU020,Funcionamiento - Min. Ambiente,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU020,Funcionamiento - Min. Ambiente,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU020,Funcionamiento - Min. Ambiente,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU021,Funcionamiento - Min. Industria y Comercio,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU021,Funcionamiento - Min. Industria y Comercio,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU021,Funcionamiento - Min. Industria y Comercio,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU022,Funcionamiento - Colciencias (Organo SGR),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU022,Funcionamiento - Colciencias (Organo SGR),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU022,Funcionamiento - Colciencias (Organo SGR),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU023,Funcionamiento - Otros por distribuir,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU023,Funcionamiento - Otros por distribuir,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU023,Funcionamiento - Otros por distribuir,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU024,Funcionamiento - DNP (Fortalecimiento ST de Planeación Municipales) - Por Distribuir,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU024,Funcionamiento - DNP (Fortalecimiento ST de Planeación Municipales) - Por Distribuir,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU024,Funcionamiento - DNP (Fortalecimiento ST de Planeación Municipales) - Por Distribuir,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU025,Funcionamiento - DNP (Fortalecimiento ST-OCAD Departamentales) Otros por Distribuir,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU025,Funcionamiento - DNP (Fortalecimiento ST-OCAD Departamentales) Otros por Distribuir,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU025,Funcionamiento - DNP (Fortalecimiento ST-OCAD Departamentales) Otros por Distribuir,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU026,Funcionamiento - DNP (Fortalecimiento ST-OCAD CAR) Otros por Distribuir,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU026,Funcionamiento - DNP (Fortalecimiento ST-OCAD CAR) Otros por Distribuir,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU026,Funcionamiento - DNP (Fortalecimiento ST-OCAD CAR) Otros por Distribuir,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU027,Funcionamiento - DNP (Fortalecimiento ST-OCAD PAZ),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU027,Funcionamiento - DNP (Fortalecimiento ST-OCAD PAZ),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU027,Funcionamiento - DNP (Fortalecimiento ST-OCAD PAZ),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU028,Funcionamiento - Procuraduría General de La Nación (PGN),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU028,Funcionamiento - Procuraduría General de La Nación (PGN),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU028,Funcionamiento - Procuraduría General de La Nación (PGN),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU029,Funcionamiento - Autoridad Nacional de Licencias Ambientales (ANLA),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU029,Funcionamiento - Autoridad Nacional de Licencias Ambientales (ANLA),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU029,Funcionamiento - Autoridad Nacional de Licencias Ambientales (ANLA),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU030,Funcionamiento - Empresa Nacional Promotora del Desarrollo Territorial (ENTerritorio),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU030,Funcionamiento - Empresa Nacional Promotora del Desarrollo Territorial (ENTerritorio),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU030,Funcionamiento - Empresa Nacional Promotora del Desarrollo Territorial (ENTerritorio),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU031,Funcionamiento - Unidad Nacional para la Gestión del Riesgo de Desastres (UNGRD),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU031,Funcionamiento - Unidad Nacional para la Gestión del Riesgo de Desastres (UNGRD),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU031,Funcionamiento - Unidad Nacional para la Gestión del Riesgo de Desastres (UNGRD),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU033,Funcionamiento - Min. Ambiente (Licenciamiento Ambiental),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU033,Funcionamiento - Min. Ambiente (Licenciamiento Ambiental),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU033,Funcionamiento - Min. Ambiente (Licenciamiento Ambiental),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU034,Funcionamiento - Otros por distribuir IP 2019-2020,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU034,Funcionamiento - Otros por distribuir IP 2019-2020,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU034,Funcionamiento - Otros por distribuir IP 2019-2020,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU041,Funcionamiento - Min. Interior,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU041,Funcionamiento - Min. Interior,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU041,Funcionamiento - Min. Interior,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU043,Funcionamiento del SGR,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU043,Funcionamiento del SGR,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU043,Funcionamiento del SGR,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU044,Fiscalización,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU044,Fiscalización,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU044,Fiscalización,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU045,Funcionamiento - Contraloría General de la Republica (CGR),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU045,Funcionamiento - Contraloría General de la Republica (CGR),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU045,Funcionamiento - Contraloría General de la Republica (CGR),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU046,Funcionamiento - DNP Regional (ST OCAD Regional),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU046,Funcionamiento - DNP Regional (ST OCAD Regional),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU046,Funcionamiento - DNP Regional (ST OCAD Regional),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU047,Funcionamiento - DNP (Estructuración de Proyectos),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU047,Funcionamiento - DNP (Estructuración de Proyectos),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU047,Funcionamiento - DNP (Estructuración de Proyectos),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU048,Reintegros (Fortalecimiento ST OCAD Departamentales),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU048,Reintegros (Fortalecimiento ST OCAD Departamentales),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU048,Reintegros (Fortalecimiento ST OCAD Departamentales),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU049,Reintegros (Saldos en cuentas maestras - fortalecimiento),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU049,Reintegros (Saldos en cuentas maestras - fortalecimiento),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU049,Reintegros (Saldos en cuentas maestras - fortalecimiento),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU050,"Reintegros (Fun, operatividad y administración - DNP órgano)",AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU050,"Reintegros (Fun, operatividad y administración - DNP órgano)",INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU050,"Reintegros (Fun, operatividad y administración - DNP órgano)",OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU051,"Reintegros (Fun, operatividad y administración - Ministerio de Hacienda y Crédito Publico)",AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU051,"Reintegros (Fun, operatividad y administración - Ministerio de Hacienda y Crédito Publico)",INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU051,"Reintegros (Fun, operatividad y administración - Ministerio de Hacienda y Crédito Publico)",OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU053,Reintegros (Saldos en cuentas maestras - Sistema de Monitoreo),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU053,Reintegros (Saldos en cuentas maestras - Sistema de Monitoreo),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU053,Reintegros (Saldos en cuentas maestras - Sistema de Monitoreo),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU054,Funcionamiento - Min. Interior - Comunidades ROM,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU054,Funcionamiento - Min. Interior - Comunidades ROM,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU054,Funcionamiento - Min. Interior - Comunidades ROM,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU055,Funcionamiento - Confederación Indígena Tayrona - Comunidades Indígenas,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU055,Funcionamiento - Confederación Indígena Tayrona - Comunidades Indígenas,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU055,Funcionamiento - Confederación Indígena Tayrona - Comunidades Indígenas,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU056,Funcionamiento - Min. Ambiente    (Órgano SGR),AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU056,Funcionamiento - Min. Ambiente    (Órgano SGR),INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU056,Funcionamiento - Min. Ambiente    (Órgano SGR),OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU057,Funcionamiento - Min. Justicia y del Derecho,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU057,Funcionamiento - Min. Justicia y del Derecho,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU057,Funcionamiento - Min. Justicia y del Derecho,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU058,Funcionamiento - Min. Interior,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU058,Funcionamiento - Min. Interior,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU058,Funcionamiento - Min. Interior,OTROS,0.0
2015_2016,FU000,Funcionamiento SGR,FU059,Funcionamiento - Min. Tecnologías de la información y las comunicaciones,AHORRO,0.0
2015_2016,FU000,Funcionamiento SGR,FU059,Funcionamiento - Min. Tecnologías de la información y las comunicaciones,INVERSIÓN,0.0
2015_2016,FU000,Funcionamiento SGR,FU059,Funcionamiento - Min. Tecnologías de la información y las comunicaciones,OTROS,0.0
2017_2018,FU000,Funcionamiento SGR,FU000,Funcionamiento SGR,AHORRO,0.0
2017_2018,FU000,Funcionamiento SGR,FU000,Funcionamiento SGR,INVERSIÓN,0.0
2017_2018,FU000,Funcionamiento SGR,FU000,Funcionamiento SGR,OTROS,0.0
2017_2018,FU000,Funcionamiento SGR,FU001,Funcionamiento SGR   - Por Distribuir,AHORRO,0.0
2017_2018,FU000,Funcionamiento SGR,FU001,Funcionamiento SGR   - Por Distribuir,INVERSIÓN,0.0
2017_2018,FU000,Funcionamiento SGR,FU001,Funcionamiento SGR   - Por Distribuir,OTROS,0.0
